Objective,Principle,PrincipleTitle,AreaID,AreaTitle,Status,IGP
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,"You consider factors such as your supplier's ownership, nationality, partnerships, competitors, other organisations with which they sub-contract and their approach to cyber security. These factors inform your risk assessment and are fully considered in your procurement lifecycle processes and purchasing decisions. "
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,Your approach to supply chain risk management considers the risks to network and information systems supporting your essential function(s) arising from supply chain subversion by capable and well-resourced threat actors.
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,Critical suppliers to network and information systems supporting your essential functions(s) can demonstrate appropriate and proportionate levels of cyber security within the context of capable and well-resourced threat actors.
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,You have confidence that information held by suppliers that is essential to the operation of network and information systems supporting your essential function(s) is appropriately protected from capable and well-resourced threat actors.
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,"You understand which contracts are relevant and you include appropriate security obligations, in relevant contracts. "
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,You have a proactive approach to contract management which may include a contract management plan for relevant contracts.
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,Customer / supplier ownership of responsibilities is defined in contracts.
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,All network connections and data sharing with third parties are managed effectively and proportionately.
A,A4,Supply Chain,A4.a,Supply Chain,Achieved,"When appropriate, your incident management process and that of your suppliers provide mutual support in the resolution of incidents."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Not Achieved,Your software supplier(s) is unaware of the composition and provenance of software provided to you.
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Not Achieved,"Software, including updates and patches, undergoes little to no testing."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Not Achieved,Updates and patches often introduce new problems or fail to address existing issues.
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Not Achieved,Vulnerabilities are discovered in software despite the negligible difficulty of implementing mitigations.
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,Your software supplier leverages secure development principles and practices.
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,Your software supplier(s) can demonstrate a limited understanding of the composition and provenance of software provided to you.
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,"You consider the security of environments (e.g. development, test and production), including source code and repositories, used in the production of software be appropriate and proportionate within the context of common threats."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,"The testing regime uses a range of different approaches (e.g. static and dynamic analysis, unit and integration testing and point in time assessments) that verify all aspects of the development lifecycle covering both functional and non-functional testing. "
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,"You have arrangements in place with your software supplier to receive timely security updates, patches and notifications."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,"Software, including updates and patches, is obtained from your supplier(s) via secure channels."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,"Your software supplier(s) has processes in place to identify, report and mitigate security vulnerabilities."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,You have arrangements in place with your software supplier to be notified of any significant events that may adversely impact network and information systems supporting your essential function(s).
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,"If open-source software is used, you have taken appropriate and proportionate steps to establish and maintain sufficient confidence in its security for its use."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Partially Achieved,You have appropriate support and maintenance arrangements in place.
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Achieved,"Your software supplier(s) leverages an established secure software development framework (e.g. NIST Secure Software Development Framework (SSDF), Microsoft Secure Development Lifecycle (SDL))."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Achieved,"Your software supplier can demonstrate a thorough understanding of the composition and provenance of software provided to you, including any third-party components used in the development of that software, and those components are being monitored for new vulnerabilities throughout the lifespan of the product."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Achieved,"You consider the security of environments (e.g. development, test, and production), including source code and repositories, used in the production of software to be appropriate and proportionate within the context of capable and well-resourced threat actors."
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Achieved,"The software development lifecycle is informed by a detailed and up to date understanding of threat and applies appropriate techniques, such as threat modelling, to identify and assess potential vulnerabilities and attack vectors. "
A,A4,Supply Chain,A4.b,Secure Software Development and Support,Achieved,"You can attest to the authenticity and integrity of software, including updates and patches."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Not Achieved,"Your policies, processes and procedures are absent or incomplete."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Not Achieved,"Policies, processes and procedures are not applied universally or consistently."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Not Achieved,"People often or routinely circumvent policies, processes and procedures to achieve business objectives."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Not Achieved,"Your organisation's security governance and risk management approach has no bearing on your policies, processes and procedures."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Not Achieved,System security is totally reliant on users' careful and consistent application of manual security processes.
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Not Achieved,"Policies, processes and procedures have not been reviewed in response to major changes (e.g. technology or regulatory framework), or within a suitable period."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Not Achieved,"Policies, processes and procedures are not readily available to staff, too detailed to remember, or too hard to understand."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Partially Achieved,"Your policies, processes and procedures document your overarching security governance and risk management approach, technical security practice and specific regulatory compliance."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Partially Achieved,"You review and update policies, processes and procedures in response to major cyber security incidents."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Achieved,"You fully document your overarching security governance and risk management approach, technical security practice and specific regulatory compliance."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Achieved,"Cyber security is integrated and embedded throughout policies, processes and procedures and key performance indicators are reported to your executive management."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Achieved,"Your organisation's policies, processes and procedures are developed to be practical, usable and appropriate to mitigate the risk of adverse impact to network and information systems supporting your essential function(s)."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Achieved,"Policies, processes and procedures that rely on user behaviour are practical, appropriate and achievable."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Achieved,"You review and update policies, processes and procedures at suitably regular intervals to ensure they remain relevant. This is in addition to reviews following a major cyber security incident."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Achieved,"Any changes to the essential function(s) or the threat it faces triggers a review of policies, processes and procedures."
B,B1,"Service Protection Policies, Processes and Procedures",B1.a,"Policy, Process and Procedure Development",Achieved,"Your systems are designed so that they remain secure even when user security policies, processes and procedures are not always followed."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Not Achieved,"Policies, processes and procedures are ignored or only partially followed."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Not Achieved,"How your policies, processes and procedures support the resilience of your essential function(s) is not well understood."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Not Achieved,"Staff are unaware of their responsibilities under your policies, processes and procedures."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Not Achieved,"You do not attempt to detect breaches of policies, processes and procedures. "
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Not Achieved,"Policies, processes and procedures lack integration with other organisational policies, processes and procedures."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Not Achieved,"Your policies, processes and procedures are not well communicated across your organisation."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Partially Achieved,"Your policies, processes and procedures are integrated with other organisational policies, processes and procedures, including HR assessments of individuals' trustworthiness."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Partially Achieved,"All staff are aware of their responsibilities under your policies, processes and procedures."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Partially Achieved,"All breaches of policies, processes and procedures with the potential to adversely impact the essential function(s) are fully investigated. Other breaches are tracked, assessed for trends and action is taken to understand and address."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Achieved,"All your policies, processes and procedures are followed, their correct application and security effectiveness is evaluated."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Achieved,"Your policies, processes and procedures are integrated with other organisational policies, processes and procedures, including HR assessments of individuals' trustworthiness."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Achieved,"Your policies, processes and procedures are effectively and appropriately communicated across all levels of the organisation resulting in good staff awareness of their responsibilities."
B,B1,"Service Protection Policies, Processes and Procedures",B1.b,"Policy, Process and Procedure Implementation",Achieved,"Appropriate action is taken to address all breaches of policies, processes and procedures with potential to adversely impact the essential function(s) including aggregated breaches."
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Not Achieved,Initial identity verification is not robust enough to provide an acceptable level of confidence of a user's identity profile.
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Not Achieved,Authorised users and systems with access to networks or information systems on which your essential function(s) depends cannot be individually identified.
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Not Achieved,Unauthorised individuals or devices can access your network or information systems on which your essential function(s) depends.
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Not Achieved,The number of authorised users and systems that have access to network and information systems is not limited to the minimum necessary to support your essential function(s).
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Not Achieved,"Your approach to authenticating users, devices and systems does not follow up to date best practice."
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Partially Achieved,Your process of initial identity verification is robust enough to provide a reasonable level of confidence of a user's identity profile before allowing an authorised user access to network and information systems that support your essential function(s).
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Partially Achieved,All authorised users and systems with access to network and information systems supporting your essential function(s) are individually identified and authenticated.
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Partially Achieved,The number of authorised users and systems that have access to network and information systems is limited to the minimum necessary to support your essential function(s).
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Partially Achieved,"You use additional strong authentication mechanisms, such as multifactor authentication (MFA), for privileged access to all network and information systems that operate or support your essential function(s). "
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Partially Achieved,You individually authenticate and authorise all remote access to all network and information systems that support your essential function(s).
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Partially Achieved,"The list of users and systems with access to network and information systems supporting and delivering the essential function(s) is reviewed on a regular basis, at least annually."
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Partially Achieved,"Your approach to authenticating users, devices and systems follows up to date best practice."
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Achieved,Your process of initial identity verification is robust enough to provide a high level of confidence of a user's identity profile before allowing an authorised user access to network and information systems that support your essential function(s).
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Achieved,Only authorised and individually authenticated users can physically access and logically connect to your network or information systems on which your essential function(s) depends.
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Achieved,The number of authorised users and systems that have access to network and information systems is limited to the minimum necessary to support your essential function(s).
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Achieved,"You use additional strong authentication mechanisms, such as multifactor authentication (MFA), for all user access, including remote access, to all network and information systems that operate or support your essential function(s)."
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Achieved,"The list of users and systems with access to network and information systems supporting and delivering the essential function(s) is reviewed on a regular basis, at least every six months."
B,B2,Identity and Access Control,B2.a,"Identity Verification, Authentication and Authorisation",Achieved,"Your approach to authenticating users, devices and systems follows up to date best practice."
B,B2,Identity and Access Control,B2.b,Device Management,Not Achieved,Users can connect to network and information systems supporting your essential function(s) using devices that are not corporately owned and managed.
B,B2,Identity and Access Control,B2.b,Device Management,Not Achieved,Privileged users can perform privileged operations from devices that are not corporately owned and managed.
B,B2,Identity and Access Control,B2.b,Device Management,Not Achieved,You have not gained assurance in the security of any third-party devices or networks connected to your systems.
B,B2,Identity and Access Control,B2.b,Device Management,Not Achieved,Physically connecting a device to network and information systems gives that device access without device or user authentication.
B,B2,Identity and Access Control,B2.b,Device Management,Partially Achieved,Only corporately owned and managed devices can access your essential function(s) network and information systems.
B,B2,Identity and Access Control,B2.b,Device Management,Partially Achieved,"All privileged operations are performed from corporately owned and managed devices. These devices provide sufficient separation, using a risk-based approach, from the activities of standard users."
B,B2,Identity and Access Control,B2.b,Device Management,Partially Achieved,You have sought to understand the security properties of third-party devices and networks before they can be connected to your systems. You have taken appropriate steps to mitigate any risks identified.
B,B2,Identity and Access Control,B2.b,Device Management,Partially Achieved,The act of connecting to a network port or cable does not grant access to any systems.
B,B2,Identity and Access Control,B2.b,Device Management,Partially Achieved,You are able to detect unknown devices being connected to network and information systems and investigate such incidents.
B,B2,Identity and Access Control,B2.b,Device Management,Achieved,"All privileged operations performed on network and information systems supporting your essential function(s) are conducted from highly trusted devices, such as Privileged Access Workstations, dedicated solely to those operations."
B,B2,Identity and Access Control,B2.b,Device Management,Achieved,"You either obtain independent and professional assurance of the security of third-party devices or networks before they connect to network and information systems, or you only allow third-party devices or networks that are dedicated to supporting network and information systems to connect."
B,B2,Identity and Access Control,B2.b,Device Management,Achieved,You perform certificate-based device identity management and only allow known devices to access systems necessary for the operation of your essential function(s).
